id,created_at,updated_at,area_name,left_latitude,left_longitude,right_latitude,right_longitude,row_name
1,30:10.2,30:10.2,A 1,10.461545496767,105.645251132901,10.461545496767,105.645251132901,VH- Số1
2,30:10.3,30:10.3,A 1,10.461614577565,105.645356914724,10.461614577565,105.645356914724,VH- Số2
3,30:10.3,30:10.3,A 1,10.461680235921,105.645464830557,10.461680235921,105.645464830557,VH- Số3
4,30:10.3,30:10.3,A 1,10.461783050551,105.645586380456,10.461783050551,105.645586380456,VH- Số4
5,30:10.4,30:10.4,A 1,10.461780290048,105.645622290328,10.461780290048,105.645622290328,VH- Số5
6,30:10.4,30:10.4,A 1,10.461780068580,105.645663921221,10.461743968574,105.645697175560,VH- Số6
7,30:10.4,30:10.4,A 1,10.461491602311,105.645256716415,10.461398884254,105.645328005098,Hàng 1
8,30:10.5,30:10.5,A 1,10.461518519150,105.645294578473,10.461408868210,105.645355799531,Hàng 2
9,30:10.7,30:10.7,A 1,10.461567051855,105.645289560072,10.461423905536,105.645380038287,Hàng 3
10,30:10.9,30:10.9,A 1,10.461580875772,105.645314253598,10.461439217904,105.645402482635,Hàng 4
11,30:11.1,30:11.1,A 1,10.461565180417,105.645361662533,10.461458151440,105.645431055494,Hàng 5
12,30:11.2,30:11.2,A 1,10.461585427354,105.645398606446,10.461475124048,105.645457177279,Hàng 6
13,30:11.3,30:11.3,A 1,10.461635427056,105.645396687841,10.461493912999,105.645483597525,Hàng 7
14,30:11.5,30:11.5,A 1,10.461651982540,105.645426629639,10.461513221575,105.645509334630,Hàng 8
15,30:11.6,30:11.6,A 1,10.461632577396,105.645470070335,10.461528613161,105.645537986401,Hàng 9
16,30:11.7,30:11.7,A 1,10.461657602312,105.645509858719,10.461548377697,105.645569700670,Hàng 10
17,30:11.8,30:11.8,A 1,10.461705981382,105.645506323552,10.461564370648,105.645595899719,Hàng 11
18,30:11.9,30:11.9,A 1,10.461725651821,105.645531280709,10.461581566346,105.645617193310,Hàng 12
19,30:12.1,30:12.1,A 1,10.461725617240,105.645565196641,10.461605021470,105.645645609988,Hàng 13
20,30:12.2,30:12.2,A 1,10.461633445954,105.645666819571,10.461633445954,105.645666819571,Hàng 14
21,30:12.3,30:12.3,A 1,10.461671062366,105.645684498172,10.461671062366,105.645684498172,Hàng 15
22,30:12.3,30:12.3,A 2,10.462061483672,105.644924170822,10.462061483672,105.644924170822,VH- Số1
23,30:12.3,30:12.3,A 2,10.462126523030,105.645035025140,10.462126523030,105.645035025140,VH- Số2
24,30:12.3,30:12.3,A 2,10.462194274010,105.645144222516,10.462194274010,105.645144222516,VH- Số3
25,30:12.4,30:12.4,A 2,10.462258567766,105.645289900673,10.462258567766,105.645289900673,VH- Số4
