id,created_at,updated_at,area_name,left_latitude,left_longitude,right_latitude,right_longitude,row_name
71,30:16.3,30:16.3,C 1,10.461778230783,105.645847900188,10.461625440253,105.645916671070,Hàng 2
72,30:16.4,30:16.4,C 1,10.461745394598,105.645886519833,10.461617889404,105.645960252672,Hàng 3
73,30:16.6,30:16.6,C 1,10.461741729247,105.645923552195,10.461633260289,105.645982406232,Hàng 4
74,30:16.7,30:16.7,C 1,10.461746441965,105.645953145889,10.461653256089,105.646000806079,Hàng 5
75,30:16.8,30:16.8,C 1,10.461764632399,105.645980071300,10.461689146366,105.646020627801,Hàng 6
76,30:16.8,30:16.8,C 2,10.462440619467,105.645415891713,10.462440619467,105.645415891713,VH Số 1
77,30:16.9,30:16.9,C 2,10.462581158218,105.645272047985,10.462466094377,105.645361678113,Hàng 1
78,30:17.0,30:17.0,C 2,10.462622623085,105.645278749242,10.462486625814,105.645396425877,Hàng 2
79,30:17.2,30:17.2,C 2,10.462649242927,105.645292486996,10.462524410172,105.645395205494,Hàng 3
80,30:17.3,30:17.3,C 2,10.462665652295,105.645318565859,10.462551914675,105.645412979439,Hàng 4
81,30:17.4,30:17.4,C 2,10.462676257064,105.645349208496,10.462576990728,105.645426643432,Hàng 5
82,30:17.5,30:17.5,C 2,10.462666216959,105.645399076389,10.462598987094,105.645452868209,Hàng 6
83,30:17.6,30:17.6,D 1,10.461906740399,105.645987413127,10.461859746103,105.646012880174,Hàng 1
84,30:17.6,30:17.6,D 1,10.461932503300,105.646005536483,10.461818874294,105.646070326840,Hàng 2
85,30:17.7,30:17.7,D 2,10.462587430054,105.645545870624,10.462540917555,105.645578867399,Hàng 1
86,30:17.7,30:17.7,D 2,10.462649397887,105.645541569740,10.462538955939,105.645616171295,Hàng 2
87,30:17.9,30:17.9,khu 8,0.0,0.0,0.0,0.0,hàng 9
